vertexA, vertexB, weight, timestamp, graphOrder, graphWeight, graphEdgeCount, maxDegree, numCommunities, edgeType, vertexARole, vertexANewCommunity, vertexANewCommunityQ, vertexANewCommunityEvolution, vertexAOldCommunity, vertexAOldCommunityQ, vertexAOldCommunityEvolution, vertexBRole, vertexBNewCommunity, vertexBNewCommunityQ, vertexBNewCommunityEvolution, vertexBOldCommunity, vertexBOldCommunityQ, vertexBOldCommunityEvolution
1, 9, 1, 1, 2, 1, 1, 1, 1, EDGE_ADD, ROLE_LONER, 9_1_0, -1, EVO_BIRTH, -1, 0, EVO_NONE, ROLE_LONER, 9_1_0, -1, EVO_BIRTH, -1, 0, EVO_NONE
1, 13, 1, 2, 3, 2, 2, 2, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 0, EVO_NONE, 9_1_0, 0, EVO_NONE, ROLE_LONER, 9_1_0, 0, EVO_GROWTH, -1, 0, EVO_NONE
1, 22, 1, 3, 4, 3, 3, 3, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 0.57735, EVO_NONE, 9_1_0, 0.57735, EVO_NONE, ROLE_LONER, 9_1_0, 0.57735, EVO_GROWTH, -1, 0, EVO_NONE
1, 23, 1, 4, 5, 4, 4, 4, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 1, EVO_NONE, 9_1_0, 1, EVO_NONE, ROLE_LONER, 9_1_0, 1, EVO_GROWTH, -1, 0, EVO_NONE
1, 27, 1, 5, 6, 5, 5, 5, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 1.34164, EVO_NONE, 9_1_0, 1.34164, EVO_NONE, ROLE_LONER, 9_1_0, 1.34164, EVO_GROWTH, -1, 0, EVO_NONE
1, 31, 1, 6, 7, 6, 6, 6, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 1.63299, EVO_NONE, 9_1_0, 1.63299, EVO_NONE, ROLE_LONER, 9_1_0, 1.63299, EVO_GROWTH, -1, 0, EVO_NONE
1, 37, 1, 7, 8, 7, 7, 7, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 1.88982, EVO_NONE, 9_1_0, 1.88982, EVO_NONE, ROLE_LONER, 9_1_0, 1.88982, EVO_GROWTH, -1, 0, EVO_NONE
1, 38, 1, 8, 9, 8, 8, 8, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 2.12132, EVO_NONE, 9_1_0, 2.12132, EVO_NONE, ROLE_LONER, 9_1_0, 2.12132, EVO_GROWTH, -1, 0, EVO_NONE
1, 47, 1, 9, 10, 9, 9, 9, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 2.33333, EVO_NONE, 9_1_0, 2.33333, EVO_NONE, ROLE_LONER, 9_1_0, 2.33333, EVO_GROWTH, -1, 0, EVO_NONE
1, 51, 1, 10, 11, 10, 10, 10, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 2.52982, EVO_NONE, 9_1_0, 2.52982, EVO_NONE, ROLE_LONER, 9_1_0, 2.52982, EVO_GROWTH, -1, 0, EVO_NONE
1, 84, 1, 11, 12, 11, 11, 11, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 2.7136, EVO_NONE, 9_1_0, 2.7136, EVO_NONE, ROLE_LONER, 9_1_0, 2.7136, EVO_GROWTH, -1, 0, EVO_NONE
1, 89, 1, 12, 13, 12, 12, 12, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 2.88675, EVO_NONE, 9_1_0, 2.88675, EVO_NONE, ROLE_LONER, 9_1_0, 2.88675, EVO_GROWTH, -1, 0, EVO_NONE
1, 90, 1, 13, 14, 13, 13, 13, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 3.05085, EVO_NONE, 9_1_0, 3.05085, EVO_NONE, ROLE_LONER, 9_1_0, 3.05085, EVO_GROWTH, -1, 0, EVO_NONE
1, 118, 1, 14, 15, 14, 14, 14, 1, EDGE_LEAF_AB, ROLE_AMBASSADOR, 9_1_0, 3.20713, EVO_NONE, 9_1_0, 3.20713, EVO_NONE, ROLE_LONER, 9_1_0, 3.20713, EVO_GROWTH, -1, 0, EVO_NONE
