Row,Node,Event,Target,Time
0,1,Add,,0
1,9,Add,,1
2,1,Community, 9_1_0,1
3,9,Community, 9_1_0,1
4,1,Role, ROLE_LONER,1
5,9,Role, ROLE_LONER,1
6,1,Connect,9,1
7,13,Add,,2
8,1,Community, 9_1_0,2
9,13,Community, 9_1_0,2
10,1,Role, ROLE_AMBASSADOR,2
11,13,Role, ROLE_LONER,2
12,1,Connect,13,2
13,22,Add,,3
14,1,Community, 9_1_0,3
15,22,Community, 9_1_0,3
16,22,Role, ROLE_LONER,3
17,1,Connect,22,3
18,23,Add,,4
19,1,Community, 9_1_0,4
20,23,Community, 9_1_0,4
21,23,Role, ROLE_LONER,4
22,1,Connect,23,4
23,27,Add,,5
24,1,Community, 9_1_0,5
25,27,Community, 9_1_0,5
26,27,Role, ROLE_LONER,5
27,1,Connect,27,5
28,31,Add,,6
29,1,Community, 9_1_0,6
30,31,Community, 9_1_0,6
31,31,Role, ROLE_LONER,6
32,1,Connect,31,6
33,37,Add,,7
34,1,Community, 9_1_0,7
35,37,Community, 9_1_0,7
36,37,Role, ROLE_LONER,7
37,1,Connect,37,7
38,38,Add,,8
39,1,Community, 9_1_0,8
40,38,Community, 9_1_0,8
41,38,Role, ROLE_LONER,8
42,1,Connect,38,8
43,47,Add,,9
44,1,Community, 9_1_0,9
45,47,Community, 9_1_0,9
46,47,Role, ROLE_LONER,9
47,1,Connect,47,9
48,51,Add,,10
49,1,Community, 9_1_0,10
50,51,Community, 9_1_0,10
51,51,Role, ROLE_LONER,10
52,1,Connect,51,10
53,84,Add,,11
54,1,Community, 9_1_0,11
55,84,Community, 9_1_0,11
56,84,Role, ROLE_LONER,11
57,1,Connect,84,11
58,89,Add,,12
59,1,Community, 9_1_0,12
60,89,Community, 9_1_0,12
61,89,Role, ROLE_LONER,12
62,1,Connect,89,12
63,90,Add,,13
64,1,Community, 9_1_0,13
65,90,Community, 9_1_0,13
66,90,Role, ROLE_LONER,13
67,1,Connect,90,13
68,118,Add,,14
69,1,Community, 9_1_0,14
70,118,Community, 9_1_0,14
71,118,Role, ROLE_LONER,14
72,1,Connect,118,14
73,126,Add,,15
74,1,Community, 9_1_0,15
75,126,Community, 9_1_0,15
76,126,Role, ROLE_LONER,15
77,1,Connect,126,15
78,128,Add,,16
79,1,Community, 9_1_0,16
80,128,Community, 9_1_0,16
81,128,Role, ROLE_LONER,16
82,1,Connect,128,16
83,2,Add,,17
84,7,Add,,17
85,2,Community, 7_2_0,17
86,7,Community, 7_2_0,17
87,2,Role, ROLE_LONER,17
88,7,Role, ROLE_LONER,17
89,2,Connect,7,17
90,35,Add,,18
91,2,Community, 7_2_0,18
92,35,Community, 7_2_0,18
93,2,Role, ROLE_AMBASSADOR,18
94,35,Role, ROLE_LONER,18
95,2,Connect,35,18
96,42,Add,,19
97,2,Community, 7_2_0,19
98,42,Community, 7_2_0,19
99,42,Role, ROLE_LONER,19
100,2,Connect,42,19
101,55,Add,,20
102,2,Community, 7_2_0,20
103,55,Community, 7_2_0,20
104,55,Role, ROLE_LONER,20
105,2,Connect,55,20
106,70,Add,,21
107,2,Community, 7_2_0,21
108,70,Community, 7_2_0,21
109,70,Role, ROLE_LONER,21
110,2,Connect,70,21
111,71,Add,,22
112,2,Community, 7_2_0,22
113,71,Community, 7_2_0,22
114,71,Role, ROLE_LONER,22
115,2,Connect,71,22
116,83,Add,,23
117,2,Community, 7_2_0,23
118,83,Community, 7_2_0,23
119,83,Role, ROLE_LONER,23
120,2,Connect,83,23
121,88,Add,,24
122,2,Community, 7_2_0,24
123,88,Community, 7_2_0,24
124,88,Role, ROLE_LONER,24
125,2,Connect,88,24
126,93,Add,,25
127,2,Community, 7_2_0,25
128,93,Community, 7_2_0,25
129,93,Role, ROLE_LONER,25
130,2,Connect,93,25
131,95,Add,,26
132,2,Community, 7_2_0,26
133,95,Community, 7_2_0,26
134,95,Role, ROLE_LONER,26
135,2,Connect,95,26
136,104,Add,,27
137,2,Community, 7_2_0,27
138,104,Community, 7_2_0,27
139,104,Role, ROLE_LONER,27
140,2,Connect,104,27
141,108,Add,,28
142,2,Community, 7_2_0,28
143,108,Community, 7_2_0,28
144,108,Role, ROLE_LONER,28
145,2,Connect,108,28
146,110,Add,,29
147,2,Community, 7_2_0,29
148,110,Community, 7_2_0,29
149,110,Role, ROLE_LONER,29
150,2,Connect,110,29
151,113,Add,,30
152,2,Community, 7_2_0,30
153,113,Community, 7_2_0,30
154,113,Role, ROLE_LONER,30
155,2,Connect,113,30
156,125,Add,,31
157,2,Community, 7_2_0,31
158,125,Community, 7_2_0,31
159,125,Role, ROLE_LONER,31
160,2,Connect,125,31
161,127,Add,,32
162,2,Community, 7_2_0,32
163,127,Community, 7_2_0,32
164,127,Role, ROLE_LONER,32
165,2,Connect,127,32
166,3,Add,,33
167,3,Community, 9_1_0,33
168,9,Community, 9_1_0,33
169,3,Role, ROLE_LONER,33
170,9,Role, ROLE_AMBASSADOR,33
171,3,Connect,9,33
172,3,Community, 9_1_0,34
173,22,Community, 9_1_0,34
174,3,Role, ROLE_NONE,34
175,22,Role, ROLE_NONE,34
176,3,Connect,22,34
177,3,Community, 9_1_0,35
178,31,Community, 9_1_0,35
179,31,Role, ROLE_NONE,35
180,3,Connect,31,35
181,3,Community, 9_1_0,36
182,35,Community, 7_2_0,36
183,3,Role, ROLE_AMBASSADOR,36
184,35,Role, ROLE_AMBASSADOR,36
185,3,Connect,35,36
186,3,Community, 9_1_0,37
187,37,Community, 9_1_0,37
188,3,Role, ROLE_NONE,37
189,37,Role, ROLE_NONE,37
190,3,Connect,37,37
191,3,Community, 9_1_0,38
192,38,Community, 9_1_0,38
193,38,Role, ROLE_NONE,38
194,3,Connect,38,38
195,43,Add,,39
196,3,Community, 9_1_0,39
197,43,Community, 9_1_0,39
198,3,Role, ROLE_AMBASSADOR,39
199,43,Role, ROLE_LONER,39
200,3,Connect,43,39
201,48,Add,,40
202,3,Community, 9_1_0,40
203,48,Community, 9_1_0,40
204,48,Role, ROLE_LONER,40
205,3,Connect,48,40
206,66,Add,,41
